date,title,rating_or_passnum,pass_rate,tags
"July 1, 2025",Blackboard Game,513.0,99.78,['math']
"July 1, 2025",Tournament,768.0,99.06,['greedy']
"July 1, 2025",Prefix Min and Suffix Max,905.0,97.95,"['brute force', 'data structures']"
"July 1, 2025",Binary String Battle,1259.0,86.18,"['constructive algorithms', 'games', 'greedy']"
"July 1, 2025",MEX Count,1470.0,64.93,"['binary search', 'data structures', 'greedy', 'sortings', 'two pointers']"
"July 1, 2025",Minimize Fixed Points,1702.0,32.75,"['constructive algorithms', 'number theory']"
"July 1, 2025",Modular Sorting,2203.0,2.65,"['brute force', 'data structures', 'greedy', 'math', 'number theory']"
"June 23, 2025",Race,499.0,99.8,"['implementation', 'math']"
"June 23, 2025",Shrinking Array,1092.0,94.22,"['brute force', 'greedy']"
"June 23, 2025",Coloring Game,1244.0,87.18,"['binary search', 'brute force', 'greedy', 'two pointers']"
"June 23, 2025",Reachability and Tree,1701.0,32.88,"['constructive algorithms', 'dfs and similar', 'graphs', 'trees']"
"June 23, 2025",Tree Colorings,2145.0,3.66,"['combinatorics', 'dfs and similar', 'dp', 'graphs', 'math']"
"June 23, 2025",Variables and Operations,2764.0,0.11,"['graphs', 'greedy', 'shortest paths']"
"June 21, 2025",Square of Rectangles,763.0,99.09,"['geometry', 'math']"
"June 21, 2025",Square Pool,910.0,97.89,['geometry']
"June 21, 2025",Divine Tree,1345.0,79.17,"['constructive algorithms', 'greedy', 'math', 'sortings', 'trees']"
"June 21, 2025",Matrix game,1751.0,26.86,"['combinatorics', 'math']"
"June 21, 2025",Lanes of Cars,2192.0,2.82,"['binary search', 'dp', 'ternary search']"
"June 21, 2025",Superb Graphs,2661.0,0.19,"['2-sat', 'graphs']"
"June 21, 2025",Eulerian Line Graph,3455.0,0.0,"['graphs', 'greedy', 'math']"
"June 17, 2025",Letter Home,389.0,99.89,"['brute force', 'math']"
"June 17, 2025",Above the Clouds,666.0,99.47,"['constructive algorithms', 'greedy', 'strings']"
"June 17, 2025",Those Who Are With Us,1217.0,88.82,"['greedy', 'implementation']"
"June 17, 2025",1709,1318.0,81.62,"['implementation', 'sortings']"
"June 17, 2025",Sponsor of Your Problems,1481.0,63.47,"['dp', 'greedy', 'implementation', 'strings']"
"June 17, 2025",Yamakasi,1820.0,19.8,"['binary search', 'brute force', 'data structures', 'greedy', 'two pointers']"
"June 17, 2025",Gangsta,1868.0,15.77,"['data structures', 'divide and conquer', 'math', 'sortings']"
"June 17, 2025",Ice Baby,2348.0,1.17,"['binary search', 'brute force', 'data structures', 'dp', 'implementation']"
"June 15, 2025",Shashliks,615.0,99.61,"['greedy', 'math']"
"June 15, 2025",Good Start,1174.0,91.05,"['constructive algorithms', 'math']"
"June 15, 2025",Smilo and Minecraft,1600.0,46.69,"['brute force', 'constructive algorithms', 'data structures', 'dp', 'greedy']"
"June 15, 2025",Cheater,2189.0,2.87,"['binary search', 'constructive algorithms', 'data structures', 'greedy']"
"June 15, 2025",Two Arrays,2578.0,0.31,"['constructive algorithms', 'dfs and similar', 'graphs', 'math']"
"June 15, 2025",From Kazan with Love,2961.0,0.03,"['dfs and similar', 'graphs', 'implementation', 'trees']"
"June 12, 2025",Equal Subsequences,526.0,99.76,"['constructive algorithms', 'greedy']"
"June 12, 2025",Make It Permutation,1199.0,89.81,['constructive algorithms']
"June 12, 2025",Make It Beautiful,1236.0,87.69,"['bitmasks', 'data structures', 'greedy', 'math']"
"June 12, 2025","Red Light, Green Light (Easy version)",1726.0,29.78,"['brute force', 'dfs and similar', 'dp', 'graphs', 'implementation']"
"June 12, 2025","Red Light, Green Light (Hard version)",2250.0,2.04,"['binary search', 'brute force', 'data structures', 'dfs and similar', 'dp']"
"June 12, 2025",Grid Coloring,2334.0,1.26,"['constructive algorithms', 'greedy']"
"June 12, 2025",Shifts and Swaps,3166.0,0.01,"['data structures', 'graphs', 'hashing', 'trees']"
"June 8, 2025",False Alarm,462.0,99.84,"['greedy', 'implementation']"
"June 8, 2025",Shrink,659.0,99.5,['constructive algorithms']
"June 8, 2025",Retaliation,1167.0,91.37,"['binary search', 'math', 'number theory']"
"June 8, 2025",Cool Partition,1240.0,87.43,"['data structures', 'greedy']"
"June 8, 2025",Lost Soul,1606.0,45.84,"['brute force', 'greedy']"
"June 8, 2025",Wildflower,1935.0,11.3,"['combinatorics', 'dfs and similar', 'trees']"
"June 8, 2025",Omg Graph,2038.0,6.58,"['brute force', 'dsu', 'graphs', 'greedy', 'shortest paths']"
"June 8, 2025",Incessant Rain,2691.0,0.16,"['data structures', 'divide and conquer', 'sortings']"
