"problem-date-column","coder-color","problem-luck-column","nowrap","tag","tag 2","tag 3","tag 4","tag 5"
"July 1, 2025","513","99.78%","Blackboard Game","math","","","",""
"July 1, 2025","768","99.06%","Tournament","greedy","","","",""
"July 1, 2025","905","97.95%","Prefix Min and Suffix Max","brute force","data structures","","",""
"July 1, 2025","1259","86.18%","Binary String Battle","constructive algorithms","games","greedy","",""
"July 1, 2025","1470","64.93%","MEX Count","binary search","data structures","greedy","sortings","two pointers"
"July 1, 2025","1702","32.75%","Minimize Fixed Points","constructive algorithms","number theory","","",""
"July 1, 2025","2203","2.65%","Modular Sorting","brute force","data structures","greedy","math","number theory"
"June 23, 2025","499","99.80%","Race","implementation","math","","",""
"June 23, 2025","1092","94.22%","Shrinking Array","brute force","greedy","","",""
"June 23, 2025","1244","87.18%","Coloring Game","binary search","brute force","greedy","two pointers",""
"June 23, 2025","1701","32.88%","Reachability and Tree","constructive algorithms","dfs and similar","graphs","trees",""
"June 23, 2025","2145","3.66%","Tree Colorings","combinatorics","dfs and similar","dp","graphs","math"
"June 23, 2025","2764","0.11%","Variables and Operations","graphs","greedy","shortest paths","",""
"June 21, 2025","763","99.09%","Square of Rectangles","geometry","math","","",""
"June 21, 2025","910","97.89%","Square Pool","geometry","","","",""
"June 21, 2025","1345","79.17%","Divine Tree","constructive algorithms","greedy","math","sortings","trees"
"June 21, 2025","1751","26.86%","Matrix game","combinatorics","math","","",""
"June 21, 2025","2192","2.82%","Lanes of Cars","binary search","dp","ternary search","",""
"June 21, 2025","2661","0.19%","Superb Graphs","2-sat","graphs","","",""
"June 21, 2025","3455","0.00%","Eulerian Line Graph","graphs","greedy","math","",""
"June 17, 2025","389","99.89%","Letter Home","brute force","math","","",""
"June 17, 2025","666","99.47%","Above the Clouds","constructive algorithms","greedy","strings","",""
"June 17, 2025","1217","88.82%","Those Who Are With Us","greedy","implementation","","",""
"June 17, 2025","1318","81.62%","1709","implementation","sortings","","",""
"June 17, 2025","1481","63.47%","Sponsor of Your Problems","dp","greedy","implementation","strings",""
"June 17, 2025","1820","19.80%","Yamakasi","binary search","brute force","data structures","greedy","two pointers"
"June 17, 2025","1868","15.77%","Gangsta","data structures","divide and conquer","math","sortings",""
"June 17, 2025","2348","1.17%","Ice Baby","binary search","brute force","data structures","dp","implementation"
"June 15, 2025","615","99.61%","Shashliks","greedy","math","","",""
"June 15, 2025","1174","91.05%","Good Start","constructive algorithms","math","","",""
"June 15, 2025","1600","46.69%","Smilo and Minecraft","brute force","constructive algorithms","data structures","dp","greedy"
"June 15, 2025","2189","2.87%","Cheater","binary search","constructive algorithms","data structures","greedy",""
"June 15, 2025","2578","0.31%","Two Arrays","constructive algorithms","dfs and similar","graphs","math",""
"June 15, 2025","2961","0.03%","From Kazan with Love","dfs and similar","graphs","implementation","trees",""
"June 12, 2025","526","99.76%","Equal Subsequences","constructive algorithms","greedy","","",""
"June 12, 2025","1199","89.81%","Make It Permutation","constructive algorithms","","","",""
"June 12, 2025","1236","87.69%","Make It Beautiful","bitmasks","data structures","greedy","math",""
"June 12, 2025","1726","29.78%","Red Light, Green Light (Easy version)","brute force","dfs and similar","dp","graphs","implementation"
"June 12, 2025","2250","2.04%","Red Light, Green Light (Hard version)","binary search","brute force","data structures","dfs and similar","dp"
"June 12, 2025","2334","1.26%","Grid Coloring","constructive algorithms","greedy","","",""
"June 12, 2025","3166","0.01%","Shifts and Swaps","data structures","graphs","hashing","trees",""
"June 8, 2025","462","99.84%","False Alarm","greedy","implementation","","",""
"June 8, 2025","659","99.50%","Shrink","constructive algorithms","","","",""
"June 8, 2025","1167","91.37%","Retaliation","binary search","math","number theory","",""
