"id","dark","notice","notice 2","notice 3","notice 4","notice 5","ProblemRating","dark 3","tablescraper-selected-row","tablescraper-selected-row 2","right"
"","","","","","","","","","","",""
"2123G","Modular Sorting","暴力枚举（brute force）","数据结构（data structures）","贪心（greedy）","数学（math）","数论（number theory）","2100","x1270","","",""
"2123F","","构造（constructive algorithms）","数论（number theory）","","","","1700","","Minimize Fixed Points",",","x5100"
"2123E","MEX Count","二分（binary search）","数据结构（data structures）","贪心（greedy）","排序（sortings）","双指针（two pointers）","1400","x8135","","",""
"2123D","","构造（constructive algorithms）","博弈论（games）","贪心（greedy）","","","1200","","Binary String Battle",",
                        ,","x13126"
"2123C","Prefix Min and Suffix Max","暴力枚举（brute force）","数据结构（data structures）","","","","1000","x19784","","",""
"2123B","","贪心（greedy）","","","","","800","","Tournament","","x23101"
"2123A","Blackboard Game","数学（math）","","","","","800","x27747","","",""
"2121H","","二分（binary search）","暴力枚举（brute force）","数据结构（data structures）","动态规划（dp）","模拟（implementation）","2300","","Ice Baby",",
                        ,
                        ,
                        ,
                        ,","x1120"
"2121G","Gangsta","数据结构（data structures）","分治（divide and conquer）","数学（math）","排序（sortings）","","1900","x2828","","",""
"2121F","","二分（binary search）","暴力枚举（brute force）","数据结构（data structures）","贪心（greedy）","双指针（two pointers）","1800","","Yamakasi",",
                        ,
                        ,
                        ,","x4736"
"2121E","Sponsor of Your 问题s","动态规划（dp）","贪心（greedy）","模拟（implementation）","字符串处理（strings）","","1500","x9058","","",""
"2121D","","模拟（implementation）","排序（sortings）","","","","1300","","1709",",","x12581"
"2121C","Those 提交者 Are With Us","贪心（greedy）","贪心（greedy）","模拟（implementation）","","","1200","x15204","","",""
"2121B","","构造（constructive algorithms）","贪心（greedy）","字符串处理（strings）","","","800","","Above the Clouds",",
                        ,","x25579"
"2121A","Letter Home","暴力枚举（brute force）","数学（math）","","","","800","x30108","","",""
"2120G","","图论（graphs）","贪心（greedy）","数学（math）","","","3000","","Eulerian Line Graph",",
                        ,","x56"
"2120F","Superb Graphs","2-SAT（2-sat）","图论（graphs）","","","","2600","x181","","",""
"2120E","","二分（binary search）","动态规划（dp）","三分（ternary search）","","","2300","","Lanes of Cars",",
                        ,","x1100"
"2120D","Matrix game","组合数学（combinatorics）","数学（math）","","","","1800","x3820","","",""
"2120C","","构造（constructive algorithms）","贪心（greedy）","数学（math）","排序（sortings）","树形结构（trees）","1400","","Divine Tree",",
                        ,
                        ,
                        ,","x8269"
"2120B","Square Pool","计算几何（geometry）","","","","","1000","x12974","","",""
"2120A","","计算几何（geometry）","数学（math）","","","","800","","Square of Rectangles",",","x15335"
"2118F","Shifts and Swaps","数据结构（data structures）","图论（graphs）","哈希表（hashing）","树形结构（trees）","","3100","x153","","",""
"2118E","","构造（constructive algorithms）","计算几何（geometry）","贪心（greedy）","数学（math）","","2400","","Grid Coloring",",
                        ,
                        ,","x929"
"2118D2","Red Light, Green Light (Hard version)","二分（binary search）","暴力枚举（brute force）","数据结构（data structures）","DFS及其变种（dfs and similar）","动态规划（dp）","2200","x1576","","",""
"2118D1","","暴力枚举（brute force）","DFS及其变种（dfs and similar）","动态规划（dp）","图论（graphs）","模拟（implementation）","1700","","Red Light, Green Light (Easy version)",",
                        ,
                        ,
                        ,
                        ,","x5005"
"2118C","Make It Beautiful","状态压缩（bitmasks）","数据结构（data structures）","贪心（greedy）","数学（math）","","1300","x14142","","",""
"2118B","","构造（constructive algorithms）","","","","","1200","","Make It Permutation","","x15727"
"2118A","Equal Subsequences","构造（constructive algorithms）","贪心（greedy）","","","","800","x24349","","",""
"2117H","","数据结构（data structures）","分治（divide and conquer）","排序（sortings）","","","2500","","Incessant Rain",",
                        ,","x526"
"2117G","Omg Graph","暴力枚举（brute force）","并查集（dsu）","图论（graphs）","贪心（greedy）","最短路（shortest paths）","1900","x3133","","",""
"2117F","","组合数学（combinatorics）","DFS及其变种（dfs and similar）","树形结构（trees）","","","1800","","Wildflower",",
                        ,","x4082"
"2117E","Lost Soul","暴力枚举（brute force）","贪心（greedy）","","","","1600","x8536","","",""
"2117D","","二分（binary search）","数学（math）","数论（number theory）","","","1200","","Retaliation",",
                        ,","x16732"
"2117C","Cool Partition","数据结构（data structures）","贪心（greedy）","","","","1200","x16073","","",""
"2117B","","构造（constructive algorithms）","","","","","800","","Shrink","","x26495"
"2117A","False Alarm","贪心（greedy）","模拟（implementation）","","","","800","x30465","","",""
"2116B","","贪心（greedy）","数学（math）","排序（sortings）","","","1300","","Gellyfish and Baby's Breath",",
                        ,","x13864"
"2116A","Gellyfish and Tricolor Pansy","博弈论（games）","贪心（greedy）","","","","800","x22979","","",""
"2115F2","","数据结构（data structures）","","","","","3500","","Gellyfish and Lycoris Radiata (Hard Version)","","x43"
"2115F1","Gellyfish and Lycoris Radiata (Easy Version)","数据结构（data structures）","","","","","3500","x40","","",""
"2115E","","动态规划（dp）","图论（graphs）","","","","3500","","Gellyfish and Mayflower",",","x124"
"2115D","Gellyfish and Forget-Me-Not","状态压缩（bitmasks）","动态规划（dp）","博弈论（games）","贪心（greedy）","数学（math）","2900","x484","","",""
"2115C","","组合数学（combinatorics）","动态规划（dp）","贪心（greedy）","数学（math）","概率论（probabilities）","2700","","Gellyfish and Eternal Violet",",
                        ,
                        ,
                        ,","x553"
"2115B","Gellyfish and Camellia Japonica","暴力枚举（brute force）","构造（constructive algorithms）","DFS及其变种（dfs and similar）","动态规划（dp）","图论（graphs）","2100","x2689","","",""
"2115A","","构造（constructive algorithms）","动态规划（dp）","数学（math）","数论（number theory）","","1500","","Gellyfish and Flaming Peony",",
                        ,
                        ,","x10531"
"2114G","Build an Array","暴力枚举（brute force）","构造（constructive algorithms）","动态规划（dp）","贪心（greedy）","数学（math）","2200","x1402","","",""
"2114F","","二分（binary search）","暴力枚举（brute force）","DFS及其变种（dfs and similar）","动态规划（dp）","数学（math）","2000","","Small Operations",",
                        ,
                        ,
                        ,
                        ,
                        ,","x3881"
"2114E","Kirei Attacks the Estate","DFS及其变种（dfs and similar）","动态规划（dp）","贪心（greedy）","树形结构（trees）","","1400","x10198","","",""
"2114D","","暴力枚举（brute force）","贪心（greedy）","模拟（implementation）","数学（math）","","1400","","Come a Little Closer",",
                        ,
                        ,","x11486"
"2114C","Need More Arrays","动态规划（dp）","贪心（greedy）","","","","1000","x24699","","",""
"2114B","","贪心（greedy）","数学（math）","","","","900","","Not Quite a Palindromic String",",","x24819"
"2114A","Square Year","二分（binary search）","暴力枚举（brute force）","数学（math）","","","800","x34514","","",""
"2113F","","构造（constructive algorithms）","DFS及其变种（dfs and similar）","图论（graphs）","数学（math）","","2500","","Two Arrays",",
                        ,
                        ,","x517"
"2113E","From Kazan with Love","DFS及其变种（dfs and similar）","图论（graphs）","模拟（implementation）","树形结构（trees）","","2800","x221","","",""
"2113D","","二分（binary search）","构造（constructive algorithms）","贪心（greedy）","模拟（implementation）","","2200","","Cheater",",
                        ,
                        ,","x1778"
"2113C","Smilo and Minecraft","暴力枚举（brute force）","构造（constructive algorithms）","贪心（greedy）","","","1700","x5495","","",""
"2113B","","构造（constructive algorithms）","数学（math）","","","","1200","","Good Start",",","x10298"
