problemId,tags,solvedCount,rating
2123F,,5100,1700
2123D,,13126,1200
2123B,,23101,800
2121H,动态规划（dp）,1120,2300
2121F,贪心（greedy）,4736,1800
2121D,,12581,1300
2121B,,25579,800
2120G,,56,3000
2120E,,1100,2300
2120C,排序（sortings）,8269,1400
2120A,,15335,800
2118E,数学（math）,929,2400
2118D1,图论（graphs）,5005,1700
2118B,,15727,1200
2117H,,526,2500
2117F,,4082,1800
2117D,,16732,1200
2117B,,26495,800
2116B,,13864,1300
2115F2,,43,3500
2115E,,124,3500
2115C,数学（math）,553,2700
2115A,数论（number theory）,10531,1500
2114F,动态规划（dp）,3881,2000
2114D,数学（math）,11486,1400
2114B,,24819,900
2113F,数学（math）,517,2500
2113D,模拟（implementation）,1778,2200
2113B,,10298,1200
2112F,,330,2800
2112D,树形结构（trees）,6146,1700
2112B,,15625,1100
2111G,数据结构（data structures）,236,2900
2111E,模拟（implementation）,4101,1900
2111C,,15251,1100
2111A,,17961,800
2110E,,1615,2300
2110C,,12217,1400
2110A,,24968,800
2109E,,1026,2400
2109C3,数论（number theory）,2461,2600
2109C1,数学（math）,8942,1500
2109A,,23214,800
2108E,贪心（greedy）,566,2600
2108C,动态规划（dp）,11241,1500
2108A,,19273,800
2107F1,贪心（greedy）,1385,2300
2107D,模拟（implementation）,2824,2100
2107B,,16362,1100
2106G2,模拟（implementation）,0,2500
2106F,greedy,3349,1900
2106D,two pointers,9601,1500
2106B,,23714,900
2104G,graphs,347,2700
2104E,strings,6309,1700
2104C,greedy,14470,1100
2104A,,21825,800
2103E,,437,2600
2103C,sortings,8541,1600
2103A,math,22015,800
2102A,,17541,900
2101E,trees,176,3100
2101C,greedy,1676,2200
2101A,,11198,1300
2098A,,12268,800
2097E,greedy,144,3100
2097C,math,731,2400
2097A,sortings,6536,1400
2096G,,281,3200
2096E,,1690,2400
2096C,,6432,1700
2096A,,18621,800
2095I,,573,0
2095G,,856,0
2095E,,686,0
2095C,,2958,0
2095A,,12099,0
2094G,,5959,1700
2094E,,14930,1200
2094C,,24544,900
2094A,,41414,800
2093F,,5009,1800
2093D,,10549,1400
2093B,,26312,900
